Name,Currency,Active,Day Count,Fixing Calendar,Publication Offset Days,Effective Offset Days,Fixed Leg Day Count
,,,,,,,
GBP-SONIA,GBP,TRUE,Act/365F,GBLO,1,0,Act/365F
CHF-SARON,CHF,TRUE,Act/360,CHZU,0,0,Act/360
CHF-TOIS,CHF,FALSE,Act/360,CHZU,0,1,Act/360
EUR-EONIA,EUR,TRUE,Act/360,EUTA,0,0,Act/360
EUR-ESTR,EUR,TRUE,Act/360,EUTA,1,0,Act/360
JPY-TONAR,JPY,TRUE,Act/365F,JPTO,1,0,Act/365F
USD-FED-FUND,USD,TRUE,Act/360,USNY,1,0,Act/360
USD-SOFR,USD,TRUE,Act/360,USGS,1,0,Act/360
,,,,,,,
AUD-AONIA,AUD,TRUE,Act/365F,AUSY,0,0,Act/365F
BRL-CDI,BRL,TRUE,Bus/252 BRBD,BRBD,1,0,Bus/252 BRBD
CAD-CORRA,CAD,TRUE,Act/365F,CATO,1,0,Act/365F
CLP-TNA,CLP,TRUE,Act/360,CLSA,0,0,Act/360
COP-OIBR,COP,TRUE,Act/360,COBO,0,0,Act/360
DKK-TNR,DKK,TRUE,Act/360,DKCO,1,1,Act/360
HKD-HONIA,HKD,TRUE,Act/365F,HKHK,0,0,Act/365F
INR-OMIBOR,INR,TRUE,Act/365F,INMU,0,0,Act/365F
NOK-NOWA,NOK,TRUE,Act/Act Year,NOOS,0,0,Act/360
NZD-NZIONA,NZD,TRUE,Act/365F,NZBD,0,0,Act/365F
PLN-POLONIA,PLN,TRUE,Act/365F,PLWA,0,0,Act/365F
# SIOR is same as STIBOR T/N,,,,,,,
SEK-SIOR,SEK,TRUE,Act/360,SEST,0,1,Act/360
SGD-SONAR,SGD,TRUE,Act/365F,SGSI,0,0,Act/365F
ZAR-SABOR,ZAR,TRUE,Act/365F,ZAJO,0,0,Act/365F
